,val_loss,loss,intermediate_dim,latent_dim,learning_rate,batch_size,epochs
0,11113.166310277478,11019.819032721161,0,100,0.0005,150,25
1,10417.399313038793,10297.063593544113,0,100,0.0005,150,25
2,10183.126262796337,10148.4689923859,0,100,0.0005,150,25
3,10155.642544450431,10083.474661314836,0,100,0.0005,150,25
4,10190.134723531788,10047.30948327818,0,100,0.0005,150,25
5,10043.934477707435,10021.907871833073,0,100,0.0005,150,25
6,10236.447543440194,10002.546168898987,0,100,0.0005,150,25
7,10058.541638604525,9988.690651484638,0,100,0.0005,150,25
8,10021.124528556034,9979.115923162733,0,100,0.0005,150,25
9,10005.123030037716,9971.472823299742,0,100,0.0005,150,25
10,9979.154574690194,9963.847170542345,0,100,0.0005,150,25
11,10040.148639547413,9959.676756876646,0,100,0.0005,150,25
12,9968.938821726832,9955.452025372844,0,100,0.0005,150,25
13,9973.999048693428,9952.107666600534,0,100,0.0005,150,25
14,9961.410341460129,9949.22240169801,0,100,0.0005,150,25
15,10015.024026804957,9946.888084627306,0,100,0.0005,150,25
16,9964.408590382543,9945.145698726492,0,100,0.0005,150,25
17,9963.57170157597,9943.027397093616,0,100,0.0005,150,25
18,9955.457763671875,9941.04265243172,0,100,0.0005,150,25
19,9972.140742860991,9939.457589954181,0,100,0.0005,150,25
20,9952.208277209053,9937.989942388896,0,100,0.0005,150,25
21,9960.69703832166,9935.867902023689,0,100,0.0005,150,25
22,9970.561178273168,9935.355057910578,0,100,0.0005,150,25
23,9951.154768318966,9935.013390183278,0,100,0.0005,150,25
24,9940.353170460668,9933.037729377545,0,100,0.0005,150,25
